 Copyright (C) 2011 ASIP Solutions, Inc. All rights reserved. 
6/29/21 3:02 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 3:02 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 3:02 AM : "Resource Declaration" start browse.
6/29/21 3:02 AM : "Resource Declaration" re-edit.
6/29/21 3:03 AM : Query "search()" finished as normally.
6/29/21 3:03 AM : Query "search()" finished as normally.
6/29/21 3:03 AM : "Resource Declaration" save
6/29/21 3:03 AM : "Resource Declaration" complete.
6/29/21 3:03 AM : "Resource Declaration" finish browse.
6/29/21 3:03 AM : Save file "browstd32.pdb".
6/29/21 3:04 AM : "Main menu" quit.
6/29/21 3:05 AM : "Main menu" start.
6/29/21 3:05 AM : Load file "ASIPmeisterStd.ini".
6/29/21 3:05 AM : Load file "browstd32.pdb".
6/29/21 3:06 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 3:06 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 3:06 AM : "Resource Declaration" start browse.
6/29/21 3:06 AM : "Resource Declaration" re-edit.
6/29/21 3:06 AM : Query "search()" finished as normally.
6/29/21 3:06 AM : Query "search()" finished as normally.
6/29/21 3:07 AM : "Resource Declaration" save
6/29/21 3:07 AM : "Resource Declaration" complete.
6/29/21 3:07 AM : "Resource Declaration" finish browse.
6/29/21 3:07 AM : Save file "browstd32.pdb".
6/29/21 3:07 AM : "Main menu" quit.
6/29/21 3:14 AM : "Main menu" start.
6/29/21 3:14 AM : Load file "ASIPmeisterStd.ini".
6/29/21 3:14 AM : Load file "browstd32.pdb".
6/29/21 3:14 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 3:14 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 3:14 AM : "Resource Declaration" start browse.
6/29/21 3:15 AM : "Resource Declaration" re-edit.
6/29/21 3:15 AM : Query "search()" finished as normally.
